funder,count,type,country,established
National Science Foundation,4149,Government,United States,1950
National Natural Science Foundation of China,3613,Government,China,1986
National Council for Scientific and Technological Development,2860,Government,Brazil,1951
Natural Environment Research Council,2695,Government,United Kingdom,1965
Natural Sciences and Engineering Research Council,1966,Government,Canada,1978
Coordenação de Aperfeicoamento de Pessoal de Nível Superior,1654,Government,Brazil,1951
Australian Research Council,1581,Government,Australia,2001
United States Fish and Wildlife Service,1418,Government,United States,1940
European Commission,1416,Government,Belgium,1958
Consejo Nacional de Ciencia y Tecnología,1358,Government,Paraguay,1997
Mahidol University,1142,Education,Thailand,1943
São Paulo Research Foundation,926,Other,Brazil,1962
Deutsche Forschungsgemeinschaft,869,Nonprofit,Germany,1951
European Research Council,747,Government,Belgium,2007
United States Geological Survey,728,Government,United States,1879
United States Department of Agriculture,663,Government,United States,1862
China National Center for Biotechnology Development,583,Facility,China,1983
Agence Nationale de la Recherche,581,Government,France,2005
Japan Society for the Promotion of Science,522,Nonprofit,Japan,1932
Rufford Foundation,509,Other,United Kingdom,1999
Government of Spain,496,Government,Spain,1978
Fundação para a Ciência e Tecnologia,492,Nonprofit,Portugal,1997
Spanish Foundation for Science and Technology,472,Nonprofit,Spain,2001
Fund for Scientific Research,467,Nonprofit,Belgium,1928
National Geographic Society,457,Nonprofit,United States,1888
Directorate for Biological Sciences,450,Government,United States,
Swedish Research Council,415,Government,Sweden,2001
European Social Fund,406,Government,Belgium,
Academy of Finland,405,Government,Finland,1970
National Research Foundation,403,Nonprofit,South Africa,1999
Federal Ministry of Education and Research,398,Government,Germany,1955
World Wide Fund for Nature,389,Nonprofit,Germany,1961
United States Department of Energy,371,Government,United States,1977
National Scientific and Technical Research Council,371,Government,Argentina,1958
"Ministry of Economy, Industry and Competitiveness",365,Government,Spain,2016
The Research Council of Norway,360,Government,Sweden,1993
Chinese Academy of Sciences,358,Government,China,1949
National Fish and Wildlife Foundation,355,Nonprofit,United States,1984
Environmental Protection Agency,350,Government,United States,1970
National Research Foundation of Korea,346,Government,South Korea,2009
Biotechnology and Biological Sciences Research Council,338,Government,United Kingdom,1994
Agricultural Research Service,335,Government,United States,1953
China Postdoctoral Science Foundation,325,Nonprofit,China,1990
Division of Environmental Biology,324,Government,United States,
Japan Agency for Medical Research and Development,317,Facility,Japan,2015
Swiss National Science Foundation,316,Government,Switzerland,1952
Australian Government,309,Government,Australia,1901
European Science Foundation,300,Nonprofit,France,1974
American Wildlife Conservation Foundation,300,Nonprofit,United States,1911
Czech Science Foundation,296,Government,Czech Republic,1993
National Park Service,296,Government,United States,1916
Russian Foundation for Basic Research,286,Government,Russia,1992
National Oceanic and Atmospheric Administration,285,Government,United States,1807
National Aeronautics and Space Administration,280,Government,United States,1958
Wildlife Conservation Society,275,Nonprofit,United States,1895
Canada Research Chairs,266,Government,Canada,2000
Department for Environment Food and Rural Affairs,264,Government,United Kingdom,2001
EcoHealth Alliance,253,Nonprofit,United States,1971
German Academic Exchange Service,248,Nonprofit,Germany,1925
The Nature Conservancy,248,Nonprofit,United States,1951
Environment Research and Technology Development Fund,234,Other,Japan,
Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,230,Facility,Brazil,1980
Charles Darwin Foundation,228,Nonprofit,Ecuador,1959
Ministry of Education,228,Government,Montenegro,2006
Fundação de Amparo à Pesquisa do Estado de Minas Gerais,227,Government,Brazil,1985
Ministry of Science and Technology of the People's Republic of China,226,Government,China,1998
Danish National Research Foundation,218,Nonprofit,Denmark,1991
