proportion,topic,ind
0.00372352,Wild Mammals,1
0.016161772,Protected areas,2
0.004457335,Marine mammals,3
0.010340078,Primary production,4
0.007431957,Antartica aimals,5
0.009790918,Deep ocean ,6
0.01146943,landscape ecology,7
0.014042209,invasive species,8
0.00765577,Physiology,9
0.012000977,ecosystem services,10
0.017580077,genetics,11
0.008250042,Site Selection,12
0.004457202,Aquatic invertebrates,13
0.006314333,movement ecology,14
0.003799535,Miscellaneous biotopes,15
0.002871603,Plant interaction,16
0.009305213,Traditional/indigenous knowledge,17
0.008404962,Risk assessment,18
0.016446912,North American biogeography,19
0.004746157,North American Plains Mammals,20
0.010381356,Southern Hemisphere Savannas,21
0.008688781,Brazilian biodiversity hotspot,22
0.025715446,Taxonomy,23
0.010056566,Food webs,24
0.013625931,wildfires,25
0.007023607,Island,26
0.020835529,Climate Change,27
0.024020755,Spatial scale,28
0.0082277,Animal disease,29
0.003609001,Wetlands,30
0.00889834,Agriculture,31
0.005304341,Urbanization,32
0.013105829,Restoration,33
0.011362229,Inherited traits,34
0.002977158,Amazon,35
0.002851554,Marine bird migration,36
0.02167153,Estimation (Methods),37
0.014023848,Soil systems,38
0.006614703,Seeds,39
0.008360636,mark-recapture studies,40
0.005499951,Coastal areas,41
0.003759478,Forest and Waterfowl Species,42
0.007468604,Southern Coast US,43
0.010274686,Plant community,44
0.011125093,Habitat,45
0.005801939,Bats,46
0.005443111,Shipping,47
0.025113795,Species diversity,48
0.00995076,Morphology,49
0.018240818,Statistical Modeling (Method),50
0.020735981,functional group,51
0.024528458,Population/demography,52
0.00940647,Bird ecology,53
0.023531041,Measurement & metrics (method),54
0.009197578,Invertebrates,55
0.007340224,"Mexico, Central, and Southamerica",56
0.006323496,Forage,57
0.003417383,Aquatic invasive mollusks,58
0.004103317,China,59
0.01061526,Grasslands,60
0.016452839,human-nature interactions,61
0.025336134,museum collections,62
0.009275601,Rivers and watersheds,63
0.009543928,forest/trees,64
0.004309236,Raptors,65
0.01249364,Europe,66
0.0055273,Coral reef,67
0.017369104,population genetics,68
0.007346111,Mountain areas/elevation,69
0.007278097,Reintroductions,70
0.005408726,Small arctic mammals,71
0.003880791,Mushrooms,72
0.00397058,Mediterranean,73
0.005189455,South and Southeast Asia,74
0.007490885,Hunting/poaching,75
0.01442316,Sexula Dimorphism,76
0.006445508,Fish,77
0.008086266,Animal behaviour,78
0.003437841,UK,79
0.004893854,Dispersal,80
0.006295803,Drought stress,81
0.008587029,Pollution and contamination,82
0.003807916,Random animals,83
0.010477714,Treatment/Experiment (method),84
0.006030837,Estuary ,85
0.012809793,Fossil record,86
0.009392351,Remote sensing,87
0.004382596,Prairie,88
0.017511825,Season words,89
0.032533871,Generic research words,90
0.013854362,Threatened status of species,91
0.013416748,Sustainable development,92
0.009551272,Water ecosystems,93
0.006092298,Large carnivores,94
0.0163785,Conservation plan,95
0.004868767,Pollination,96
0.006492634,Marine fisheries,97
0.003961786,Unknown,98
0.004972256,Lepidoptera,99
0.001940299,Study impacts and limitations,100
